sat_number,sat_name,slot_date,total_meters,expected_blocks,block_0800_hrs,percentage_0800_hrs,block_1200_hrs,percentage_1200_hrs,block_2400_hrs,percentage_2400_hrs
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-02-24,25000,1204368.0,0,0.0,0,0.0,1114135,92.51
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-02-25,25000,1204368.0,893535,74.19,893702,74.21,1107253,91.94
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-02-26,25000,1204368.0,1052886,87.42,1111843,92.32,1113817,92.48
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-02-27,25000,1204368.0,1054528,87.56,1110531,92.21,1113625,92.47
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-02-28,25000,1204368.0,1055576,87.65,1110804,92.23,1113971,92.49
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-01,25000,1204368.0,990409,82.23,1084087,90.01,1113980,92.49
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-02,25000,1204368.0,988392,82.07,1083378,89.95,1114065,92.5
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-03,25000,1204368.0,985860,81.86,1107414,91.95,1114225,92.52
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-04,25000,1204368.0,987260,81.97,1092190,90.69,1114016,92.5
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-05,25000,1204368.0,988059,82.04,988059,82.04,1050609,87.23
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-06,25000,1204368.0,448390,37.23,526009,43.68,668433,55.5
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-07,25000,1204368.0,1110960,92.24,1112568,92.38,1113387,92.45
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-08,25000,1204368.0,1112803,92.4,1113243,92.43,1113452,92.45
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-09,25000,1204368.0,1112131,92.34,1112859,92.4,1112963,92.41
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-10,25000,1204368.0,601964,49.98,601964,49.98,1112846,92.4
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-11,25000,1204368.0,1082264,89.86,1095705,90.98,1096234,91.02
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-12,25000,1204368.0,1096072,91.01,1112387,92.36,1112887,92.4
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-13,25000,1204368.0,1099493,91.29,1112792,92.4,1112998,92.41
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-14,25000,1204368.0,1099844,91.32,1112669,92.39,1112964,92.41
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-15,25000,1204368.0,1100023,91.34,1112740,92.39,1113034,92.42
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-16,25000,1204368.0,1099378,91.28,1112315,92.36,1112870,92.4
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-17,25000,1204368.0,1098319,91.19,1111660,92.3,1111925,92.32
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-18,25000,1204368.0,1099218,91.27,1112318,92.36,1112475,92.37
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-19,25000,1204368.0,1099308,91.28,1111741,92.31,1112496,92.37
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-20,25000,1204368.0,1099099,91.26,1111751,92.31,1112705,92.39
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-21,25000,1204368.0,1096977,91.08,1111701,92.31,1112537,92.38
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-22,25000,1204368.0,1097301,91.11,1111880,92.32,1112551,92.38
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-23,25000,1204368.0,1097028,91.09,1112379,92.36,1112629,92.38
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-24,25000,1204368.0,1097821,91.15,1112034,92.33,1112334,92.36
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-25,25000,1204368.0,1099245,91.27,1099245,91.27,1099245,91.27
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-26,25000,1204368.0,879434,73.02,879434,73.02,879434,73.02
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-27,25000,1204368.0,403458,33.5,1098140,91.18,1098140,91.18
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-28,25000,1204368.0,410337,34.07,410337,34.07,1097335,91.11
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-29,25000,1204368.0,1097935,91.16,1111133,92.26,1111680,92.3
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-30,25000,1204368.0,1095801,90.99,1095801,90.99,1111547,92.29
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-03-31,25000,1204368.0,1116047,92.67,1116047,92.67,1131032,93.91
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-03-31,100000,4800000.0,4724776,98.43,4724784,98.43,4764142,99.25
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-03-31,100000,4800000.0,4733526,98.62,4733529,98.62,4767386,99.32
