sat_number,sat_name,slot_date,total_meters,expected_blocks,block_0800_hrs,percentage_0800_hrs,block_1200_hrs,percentage_1200_hrs,block_2400_hrs,percentage_2400_hrs
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-24,25000,1204368.0,1100732,91.39,1114160,92.51,1114985,92.58
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-24,100000,4800000.0,4731031,98.56,4758165,99.13,4765226,99.28
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-24,100000,4800000.0,4721291,98.36,4760759,99.18,4765768,99.29
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-25,25000,1204368.0,1098631,91.22,1113885,92.49,1114845,92.57
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-02,25000,1204368.0,1101417,91.45,1116364,92.69,1116641,92.72
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-02,100000,4800000.0,4736991,98.69,4766354,99.3,4769882,99.37
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-02,100000,4800000.0,4730323,98.55,4767629,99.33,4773391,99.45
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-01,100000,4800000.0,3951319,82.32,4354359,90.72,4491565,93.57
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-02,100000,4800000.0,4642295,96.71,4664217,97.17,4676363,97.42
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-03,100000,4800000.0,4433349,92.36,4681113,97.52,4728309,98.51
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-03,100000,4800000.0,4556560,94.93,4706696,98.06,4749615,98.95
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-03,100000,4800000.0,4513429,94.03,4688676,97.68,4721686,98.37
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-04,100000,4800000.0,4060033,84.58,4277132,89.11,4740627,98.76
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-04,25000,1204368.0,968489,80.41,1081454,89.79,1167619,96.95
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-04,100000,4800000.0,4272567,89.01,4670902,97.31,4752049,99.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-04,100000,4800000.0,4299379,89.57,4622518,96.3,4727645,98.49
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-05,100000,4800000.0,4723389,98.4,4723427,98.4,4751513,98.99
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-05,25000,1204368.0,1163517,96.61,1163614,96.62,1173031,97.4
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-05,100000,4800000.0,4736039,98.67,4736426,98.68,4758931,99.14
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-05,100000,4800000.0,4712342,98.17,4712626,98.18,4741864,98.79
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-06,100000,4800000.0,4637173,96.61,4660223,97.09,4753069,99.02
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-06,25000,1204368.0,1166550,96.86,1173916,97.47,1176077,97.65
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-06,100000,4800000.0,4747551,98.91,4756081,99.09,4766980,99.31
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-06,100000,4800000.0,4709884,98.12,4721095,98.36,4745640,98.87
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-07,100000,4800000.0,4733659,98.62,4743247,98.82,4754331,99.05
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-07,25000,1204368.0,1170742,97.21,1177359,97.76,1178434,97.85
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-07,100000,4800000.0,4754624,99.05,4761688,99.2,4769338,99.36
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-07,100000,4800000.0,4728596,98.51,4739369,98.74,4751906,99.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-08,100000,4800000.0,4730550,98.55,4746239,98.88,4758179,99.13
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-08,25000,1204368.0,1171627,97.28,1179515,97.94,1180928,98.05
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-08,100000,4800000.0,4753227,99.03,4762147,99.21,4770362,99.38
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-08,100000,4800000.0,4726378,98.47,4739400,98.74,4755091,99.06
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-22,100000,4800000.0,1634663,34.06,1787355,37.24,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-12,25000,1204368.0,1099401,91.28,1099401,91.28,1099401,91.28
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-12,100000,4800000.0,4728668,98.51,4728668,98.51,4728668,98.51
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-12,100000,4800000.0,4717548,98.28,4717548,98.28,4717548,98.28
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-13,25000,1204368.0,1098303,91.19,1098438,91.2,1098451,91.21
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-13,100000,4800000.0,4719585,98.32,4719739,98.33,4719846,98.33
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-13,100000,4800000.0,4702992,97.98,4703164,97.98,4703307,97.99
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-14,25000,1204368.0,1100389,91.37,1107010,91.92,1107010,91.92
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-14,100000,4800000.0,4729004,98.52,4729004,98.52,4729004,98.52
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-14,100000,4800000.0,4707437,98.07,4707437,98.07,4707437,98.07
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-15,25000,1204368.0,1095173,90.93,1095193,90.94,1095256,90.94
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-15,100000,4800000.0,4698213,97.88,4698230,97.88,4698526,97.89
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-15,100000,4800000.0,4632043,96.5,4632062,96.5,4632330,96.51
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-16,25000,1204368.0,1099597,91.3,1099597,91.3,1099597,91.3
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-16,100000,4800000.0,4723939,98.42,4723939,98.42,4723939,98.42
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-16,100000,4800000.0,4667495,97.24,4667495,97.24,4667495,97.24
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-17,25000,1204368.0,1097454,91.12,1097484,91.13,1097490,91.13
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-17,100000,4800000.0,4720869,98.35,4721089,98.36,4721196,98.36
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-17,100000,4800000.0,4686219,97.63,4686477,97.63,4686613,97.64
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-18,100000,4800000.0,4690102,97.71,4690102,97.71,4751881,99.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-01,100000,4800000.0,4203822,87.58,4649536,96.87,4774033,99.46
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-09,100000,4800000.0,4741540,98.78,4755261,99.07,4761033,99.19
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-09,25000,1204368.0,1173651,97.45,1181348,98.09,1182083,98.15
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-09,100000,4800000.0,4753826,99.04,4762941,99.23,4769018,99.35
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-09,100000,4800000.0,4735513,98.66,4750498,98.97,4758164,99.13
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-27,100000,4800000.0,4753644,99.03,4756216,99.09,4759022,99.15
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-28,100000,4800000.0,4669383,97.28,4673965,97.37,4745376,98.86
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-28,100000,4800000.0,4723638,98.41,4729295,98.53,4744192,98.84
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-29,100000,4800000.0,4733416,98.61,4739862,98.75,4743106,98.81
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-29,25000,1204368.0,1173629,97.45,1175447,97.6,1176345,97.67
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-29,100000,4800000.0,4748926,98.94,4751375,98.99,4755311,99.07
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-29,100000,4800000.0,4736036,98.67,4741451,98.78,4743997,98.83
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-30,100000,4800000.0,4732604,98.6,4735779,98.66,4739042,98.73
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-30,25000,1204368.0,1174422,97.51,1175184,97.58,1175778,97.63
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-30,100000,4800000.0,4745198,98.86,4749871,98.96,4751642,98.99
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-30,100000,4800000.0,4734269,98.63,4738124,98.71,4740476,98.76
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-05-31,100000,4800000.0,4674425,97.38,4678598,97.47,4684031,97.58
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-31,25000,1204368.0,1173682,97.45,1174424,97.51,1176337,97.67
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-31,100000,4800000.0,4736808,98.68,4738790,98.72,4743377,98.82
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-30,100000,4800000.0,4650771,96.89,4706219,98.05,4713982,98.21
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-31,100000,4800000.0,4718173,98.3,4721522,98.37,4725614,98.45
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-12-09,100000,4800000.0,4611494,96.07,4611544,96.07,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-12-09,25000,1204368.0,1144587,95.04,1144590,95.04,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-12-09,100000,4800000.0,4653059,96.94,4653133,96.94,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-12-09,100000,4800000.0,4582786,95.47,4582814,95.48,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-12-09,100000,4800000.0,4619078,96.23,4619136,96.23,0,0.0
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-12-09,100000,4856640.0,4656303,95.87,4656748,95.88,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-22,25000,1204368.0,398010,33.05,434691,36.09,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-22,100000,4800000.0,1612795,33.6,1764635,36.76,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-22,100000,4800000.0,1697743,35.37,1856997,38.69,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-11-22,100000,4800000.0,1582913,32.98,1732219,36.09,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-18,25000,1204368.0,1069280,88.78,1069280,88.78,1111985,92.33
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-18,100000,4800000.0,4679110,97.48,4679118,97.48,4754400,99.05
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-19,25000,1204368.0,1089792,90.49,1089795,90.49,1112833,92.4
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-19,100000,4800000.0,4695626,97.83,4695650,97.83,4757537,99.12
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-19,100000,4800000.0,4686947,97.64,4686986,97.65,4753835,99.04
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-20,25000,1204368.0,1097695,91.14,1097696,91.14,1112283,92.35
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-11-22,100000,4856640.0,1743091,35.89,1904966,39.22,0,0.0
c70579b6-34bc-4732-aded-cd2c7547e1f1,SAT No 7,2025-11-22,120000,5760000.0,2099835,36.46,2289789,39.75,0,0.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-23,100000,4800000.0,1,0.0,10609,0.22,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-23,25000,1204368.0,0,0.0,2706,0.22,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-23,100000,4800000.0,0,0.0,5537,0.12,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-23,100000,4800000.0,0,0.0,9683,0.2,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-11-23,100000,4800000.0,0,0.0,8355,0.17,0,0.0
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-11-23,100000,4856640.0,1,0.0,10527,0.22,0,0.0
c70579b6-34bc-4732-aded-cd2c7547e1f1,SAT No 7,2025-11-23,120000,5760000.0,0,0.0,8945,0.16,0,0.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-24,100000,4800000.0,0,0.0,0,0.0,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-24,25000,1204368.0,0,0.0,0,0.0,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-24,100000,4800000.0,0,0.0,0,0.0,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-24,100000,4800000.0,0,0.0,0,0.0,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-11-24,100000,4800000.0,0,0.0,0,0.0,0,0.0
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-11-24,100000,4856640.0,0,0.0,0,0.0,0,0.0
c70579b6-34bc-4732-aded-cd2c7547e1f1,SAT No 7,2025-11-24,120000,5760000.0,0,0.0,0,0.0,0,0.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-25,100000,4800000.0,0,0.0,0,0.0,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-25,25000,1204368.0,0,0.0,0,0.0,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-25,100000,4800000.0,0,0.0,0,0.0,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-25,100000,4800000.0,0,0.0,0,0.0,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-25,100000,4800000.0,4725029,98.44,4757200,99.11,4765203,99.28
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-11-25,100000,4800000.0,0,0.0,0,0.0,0,0.0
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-11-25,100000,4856640.0,0,0.0,0,0.0,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-25,100000,4800000.0,4720443,98.34,4761260,99.19,4766653,99.31
c70579b6-34bc-4732-aded-cd2c7547e1f1,SAT No 7,2025-11-25,120000,5760000.0,0,0.0,0,0.0,0,0.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-26,100000,4800000.0,1656444,34.51,2488739,51.85,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-26,25000,1204368.0,415086,34.47,624941,51.89,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-26,100000,4800000.0,1640623,34.18,2501739,52.12,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-26,100000,4800000.0,1650109,34.38,2805814,58.45,0,0.0
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-11-26,100000,4800000.0,1650456,34.38,2488622,51.85,0,0.0
c186f425-cc93-45be-bd06-61641fae7dc7,SAT No 6,2025-11-26,100000,4856640.0,1655895,34.1,2781984,57.28,0,0.0
c70579b6-34bc-4732-aded-cd2c7547e1f1,SAT No 7,2025-11-26,120000,5760000.0,1939435,33.67,3219532,55.89,0,0.0
448a8c35-f83a-4436-9f84-879597c79af7,SAT No 4,2025-11-27,100000,4800000.0,3908960,81.44,4045995,84.29,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-11-27,25000,1204368.0,1002865,83.27,1033917,85.85,0,0.0
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-11-27,100000,4800000.0,3785215,78.86,3902191,81.3,0,0.0
dd863048-59d2-4b02-88e3-f07270b17006,SAT No 5,2025-11-27,100000,4800000.0,3726415,77.63,3963991,82.58,0,0.0
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-04-26,25000,1204368.0,1088445,90.37,1114212,92.51,1114859,92.57
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-04-26,100000,4800000.0,4693328,97.78,4756623,99.1,4764944,99.27
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-04-26,100000,4800000.0,4660821,97.1,4754319,99.05,4765534,99.28
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-01,25000,1204368.0,1036029,86.02,1132165,94.0,1164504,96.69
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-01,100000,4800000.0,4252587,88.6,4614245,96.13,4776813,99.52
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-02,25000,1204368.0,1125602,93.46,1140843,94.73,1141877,94.81
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-02,100000,4800000.0,4682268,97.55,4714367,98.22,4722023,98.38
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-02,100000,4800000.0,4653746,96.95,4685004,97.6,4690110,97.71
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-03,25000,1204368.0,1116735,92.72,1165954,96.81,1172623,97.36
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-10,25000,1204368.0,1172498,97.35,1182045,98.15,1182469,98.18
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-10,100000,4800000.0,4752329,99.01,4766616,99.3,4769220,99.36
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-10,100000,4800000.0,4733069,98.61,4755862,99.08,4759960,99.17
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-11,25000,1204368.0,1172574,97.36,1172574,97.36,1182261,98.16
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-11,100000,4800000.0,4755844,99.08,4755884,99.08,4768340,99.34
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-11,100000,4800000.0,4740430,98.76,4740645,98.76,4761391,99.2
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-12,25000,1204368.0,1169097,97.07,1169097,97.07,1169244,97.08
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-12,100000,4800000.0,4723510,98.41,4723642,98.41,4723771,98.41
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-12,100000,4800000.0,4705890,98.04,4705938,98.04,4705999,98.04
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-13,25000,1204368.0,1172527,97.36,1172527,97.36,1184116,98.32
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-13,100000,4800000.0,4747514,98.91,4747553,98.91,4770802,99.39
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-13,100000,4800000.0,4732511,98.59,4732533,98.59,4764404,99.26
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-15,100000,4800000.0,4720175,98.34,4764788,99.27,4771045,99.4
08f07e1d-7d6f-4cde-b2d2-4e2831d06889,SAT No 3,2025-05-15,100000,4800000.0,4705235,98.03,4758990,99.15,4764324,99.26
bec5cdff-3109-4a88-93f9-0dd8e30d1c1c,SAT No 1,2025-05-18,25000,1204368.0,1182689,98.2,1183045,98.23,1183603,98.28
98e87de7-64ed-4092-8462-314054ade4e8,SAT No 2,2025-05-18,100000,4800000.0,4764100,99.25,4765900,99.29,4768422,99.34
